Дата;Открытие;Макс;Мин;Закрытие
01.10.2018;118170;118280;118170;118230
01.10.2018;118230;118280;118210;118240
01.10.2018;118230;118270;118220;118250
01.10.2018;118240;118270;118220;118250
01.10.2018;118240;118240;118200;118200
01.10.2018;118200;118230;118190;118200
01.10.2018;118200;118220;118190;118190
01.10.2018;118200;118220;118190;118220
01.10.2018;118230;118230;118190;118230
01.10.2018;118230;118250;118210;118220
01.10.2018;118230;118280;118230;118280
01.10.2018;118260;118280;118210;118240
01.10.2018;118240;118250;118210;118220
01.10.2018;118240;118240;118190;118220
01.10.2018;118230;118260;118230;118250
01.10.2018;118260;118260;118220;118250
01.10.2018;118250;118280;118220;118240
01.10.2018;118240;118250;118190;118190
01.10.2018;118200;118210;118180;118190
01.10.2018;118190;118200;118150;118160
01.10.2018;118150;118180;118150;118180
01.10.2018;118180;118190;118160;118170
01.10.2018;118160;118200;118150;118190
01.10.2018;118170;118170;118160;118170
01.10.2018;118160;118170;118120;118130
01.10.2018;118130;118140;118060;118090
01.10.2018;118090;118120;118080;118100
01.10.2018;118090;118120;118090;118110
01.10.2018;118100;118140;118090;118110
01.10.2018;118110;118120;118090;118100
01.10.2018;118110;118110;118060;118070
01.10.2018;118060;118080;118050;118060
01.10.2018;118060;118070;118050;118050
01.10.2018;118040;118070;118040;118070
01.10.2018;118070;118070;118040;118060
01.10.2018;118060;118070;118030;118050
01.10.2018;118040;118100;118010;118080
01.10.2018;118080;118170;118080;118130
01.10.2018;118120;118140;118110;118110
01.10.2018;118120;118200;118120;118180
01.10.2018;118190;118240;118190;118220
01.10.2018;118220;118240;118210;118220
01.10.2018;118220;118250;118170;118180
01.10.2018;118180;118210;118180;118200
01.10.2018;118190;118200;118180;118180
01.10.2018;118180;118190;118110;118140
01.10.2018;118150;118160;118130;118150
01.10.2018;118160;118170;118140;118160
01.10.2018;118160;118160;118110;118130
01.10.2018;118120;118130;118110;118130
01.10.2018;118120;118140;118060;118090
01.10.2018;118080;118100;118060;118090
01.10.2018;118080;118100;118070;118090
01.10.2018;118100;118100;118050;118060
01.10.2018;118050;118080;117950;117960
01.10.2018;117960;118060;117940;118050
01.10.2018;118050;118140;118050;118100
01.10.2018;118100;118110;118080;118110
01.10.2018;118110;118140;118100;118120
01.10.2018;118130;118160;118110;118140
01.10.2018;118150;118190;118120;118120
01.10.2018;118130;118160;118120;118150
01.10.2018;118150;118180;118140;118170
01.10.2018;118160;118180;118140;118160
01.10.2018;118170;118180;118150;118170
01.10.2018;118170;118170;118140;118160
01.10.2018;118150;118170;118140;118150
01.10.2018;118150;118150;118110;118120
01.10.2018;118130;118160;118130;118150
01.10.2018;118150;118180;118140;118180
01.10.2018;118170;118180;118100;118140
01.10.2018;118130;118160;118130;118150
01.10.2018;118170;118170;118130;118140
01.10.2018;118150;118160;118140;118160
01.10.2018;118140;118170;118140;118160
01.10.2018;118170;118210;118170;118200
01.10.2018;118210;118250;118180;118250
01.10.2018;118250;118260;118200;118220
01.10.2018;118200;118210;118180;118190
01.10.2018;118200;118200;118180;118180
01.10.2018;118180;118180;118150;118170
01.10.2018;118160;118170;118080;118080
01.10.2018;118080;118090;118060;118070
01.10.2018;118080;118130;118030;118130
01.10.2018;118140;118180;118120;118130
01.10.2018;118130;118140;118110;118110
01.10.2018;118110;118110;118070;118090
01.10.2018;118090;118100;118080;118080
01.10.2018;118080;118090;118070;118090
01.10.2018;118080;118090;118060;118070
01.10.2018;118080;118110;118070;118110
01.10.2018;118090;118100;118050;118060
01.10.2018;118060;118090;118050;118080
01.10.2018;118080;118100;118080;118100
01.10.2018;118090;118100;118070;118090
01.10.2018;118100;118130;118070;118090
01.10.2018;118090;118110;118070;118080
01.10.2018;118080;118100;118070;118090
01.10.2018;118080;118110;118070;118070
01.10.2018;118070;118100;118040;118070
01.10.2018;118050;118080;118050;118080
01.10.2018;118070;118110;118070;118080
01.10.2018;118070;118070;117850;117920
01.10.2018;117910;117910;117760;117790
01.10.2018;117780;117820;117750;117820
01.10.2018;117820;117880;117800;117850
01.10.2018;117850;117850;117820;117840
01.10.2018;117840;117990;117830;117990
01.10.2018;117990;118060;117970;118020
01.10.2018;118010;118010;117920;117930
01.10.2018;117940;117980;117930;117950
01.10.2018;117960;117960;117890;117890
01.10.2018;117900;117900;117850;117860
01.10.2018;117860;117900;117820;117900
01.10.2018;117900;117930;117890;117920
01.10.2018;117920;117950;117900;117930
01.10.2018;117920;117930;117860;117890
01.10.2018;117890;117910;117880;117910
01.10.2018;117890;117890;117820;117840
01.10.2018;117830;117830;117740;117780
01.10.2018;117770;117830;117750;117830
01.10.2018;117810;117840;117810;117830
01.10.2018;117840;117840;117740;117740
01.10.2018;117740;117750;117630;117700
01.10.2018;117710;117770;117680;117760
01.10.2018;117750;117770;117680;117680
01.10.2018;117690;117700;117520;117520
01.10.2018;117520;117630;117520;117620
01.10.2018;117630;117630;117470;117490
01.10.2018;117490;117510;117400;117420
01.10.2018;117430;117510;117410;117500
01.10.2018;117490;117500;117400;117410
01.10.2018;117410;117410;117210;117270
01.10.2018;117260;117260;117100;117120
01.10.2018;117120;117180;117030;117150
01.10.2018;117140;117170;117100;117110
01.10.2018;117110;117140;116980;117120
01.10.2018;117130;117140;117060;117140
01.10.2018;117130;117130;116940;116980
01.10.2018;116960;117050;116950;117040
01.10.2018;117040;117130;117020;117130
01.10.2018;117130;117190;117080;117170
01.10.2018;117170;117200;117150;117150
01.10.2018;117150;117180;117110;117160
01.10.2018;117160;117210;117120;117200
01.10.2018;117210;117210;117120;117190
01.10.2018;117190;117220;117150;117200
01.10.2018;117190;117220;117170;117180
01.10.2018;117200;117280;117180;117280
01.10.2018;117270;117360;117260;117310
01.10.2018;117320;117400;117310;117370
01.10.2018;117370;117380;117270;117270
01.10.2018;117280;117310;117260;117270
01.10.2018;117280;117280;117210;117220
01.10.2018;117210;117230;117180;117220
01.10.2018;117210;117230;117130;117150
01.10.2018;117140;117230;117100;117230
01.10.2018;117230;117240;117100;117160
01.10.2018;117160;117180;117110;117110
01.10.2018;117120;117240;117110;117210
01.10.2018;117200;117260;117160;117190
01.10.2018;117180;117250;117120;117240
01.10.2018;117220;117220;117120;117180
01.10.2018;117170;117270;117130;117250
01.10.2018;117250;117250;117170;117180
01.10.2018;117180;117180;117110;117120
01.10.2018;117130;117240;117110;117190
01.10.2018;117200;117250;117190;117220
01.10.2018;117230;117280;117230;117270
01.10.2018;117260;117260;117230;117240
01.10.2018;117240;117310;117210;117250
01.10.2018;117260;117380;117250;117360
01.10.2018;117360;117410;117310;117370
01.10.2018;117370;117440;117370;117420
